,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
1676,A494RY2,Medical care - A494RY2,2004_Q1,0.51,0.53,0.53,0.53,0.02,0.02,0.02,,2004,1,2004-01-01
1677,A494RY2,Medical care - A494RY2,2004_Q2,0.57,0.52,0.52,0.52,-0.05,0.05,0.05,,2004,4,2004-04-01
1678,A494RY2,Medical care - A494RY2,2004_Q3,0.56,0.59,0.59,0.59,0.03,0.03,0.03,,2004,7,2004-07-01
1679,A494RY2,Medical care - A494RY2,2004_Q4,0.48,0.5,0.5,0.5,0.02,0.02,0.02,,2004,10,2004-10-01
1680,A494RY2,Medical care - A494RY2,2005_Q1,0.54,0.55,0.55,0.55,0.01,0.01,0.01,,2005,1,2005-01-01
1681,A494RY2,Medical care - A494RY2,2005_Q2,0.45,0.5,0.5,0.5,0.05,0.05,0.05,,2005,4,2005-04-01
1682,A494RY2,Medical care - A494RY2,2005_Q3,0.67,0.66,0.66,0.66,-0.01,0.01,0.01,,2005,7,2005-07-01
1683,A494RY2,Medical care - A494RY2,2005_Q4,0.61,0.58,0.58,0.58,-0.03,0.03,0.03,,2005,10,2005-10-01
1684,A494RY2,Medical care - A494RY2,2006_Q1,0.59,0.59,0.59,0.59,0.0,0.0,0.0,,2006,1,2006-01-01
1685,A494RY2,Medical care - A494RY2,2006_Q2,0.41,0.31,0.31,0.31,-0.1,0.1,0.1,,2006,4,2006-04-01
1686,A494RY2,Medical care - A494RY2,2006_Q3,0.34,0.25,0.25,0.25,-0.09,0.09,0.09,,2006,7,2006-07-01
1687,A494RY2,Medical care - A494RY2,2006_Q4,0.31,0.42,0.42,0.42,0.11,0.11,0.11,,2006,10,2006-10-01
1688,A494RY2,Medical care - A494RY2,2007_Q1,0.55,0.51,0.51,0.51,-0.04,0.04,0.04,,2007,1,2007-01-01
1689,A494RY2,Medical care - A494RY2,2007_Q2,0.35,0.28,0.28,0.28,-0.07,0.07,0.07,,2007,4,2007-04-01
1690,A494RY2,Medical care - A494RY2,2007_Q3,0.32,0.27,0.27,0.27,-0.05,0.05,0.05,,2007,7,2007-07-01
1691,A494RY2,Medical care - A494RY2,2007_Q4,0.35,0.51,0.51,0.51,0.16,0.16,0.16,,2007,10,2007-10-01
1692,A494RY2,Medical care - A494RY2,2008_Q1,0.44,0.62,0.62,0.62,0.18,0.18,0.18,,2008,1,2008-01-01
1693,A494RY2,Medical care - A494RY2,2008_Q2,0.41,0.35,0.35,0.35,-0.06,0.06,0.06,,2008,4,2008-04-01
1694,A494RY2,Medical care - A494RY2,2008_Q3,0.35,0.31,0.31,0.31,-0.04,0.04,0.04,,2008,7,2008-07-01
1695,A494RY2,Medical care - A494RY2,2008_Q4,0.27,0.38,0.38,0.38,0.11,0.11,0.11,,2008,10,2008-10-01
1696,A494RY2,Medical care - A494RY2,2009_Q1,0.25,0.21,0.21,0.21,-0.04,0.04,0.04,,2009,1,2009-01-01
